Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,sub_date,is_chat,has_license,_k,match_conf,matched,c4_model,c4_params_B,c4_compute_FLOP,c4_data,c4_open,c4_access,c4_pubdate,c4_org
OpenGenerativeAI/Bifrost,14.66,2025-03-07,apache-2.0,🔶 fine-tuned on domain-specific datasets,37.1475,63.4752,55.097,25.4532,15.7718,16.8701,46.2175,2025-03-07,False,True,opengenerativeaibifrost,none,False,,,,,,,,
OpenGenerativeAI/Bifrost-14B,14.66,2025-03-07,apache-2.0,🔶 fine-tuned on domain-specific datasets,37.3996,66.153,55.0881,23.565,17.226,17.0995,45.2663,2025-03-07,False,True,opengenerativeaibifrost14b,none,False,,,,,,,,
OpenLLM-France/Lucie-7B,6.707,2025-01-14,apache-2.0,🟢 pretrained,8.61173,24.9645,9.91394,1.43505,3.02013,6.80703,5.5297,2025-01-14,False,True,openllmfrancelucie7b,none,False,,,,,,,,
OpenLLM-France/Lucie-7B-Instruct,6.707,2025-01-14,,🔶 fine-tuned on domain-specific datasets,8.3649,27.9646,7.26138,1.66163,3.91499,3.21068,6.17612,2025-01-14,False,False,openllmfrancelucie7binstruct,none,False,,,,,,,,
OpenLLM-France/Lucie-7B-Instruct-human-data,6.707,2025-01-14,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.57487,29.4608,7.62977,2.19033,3.3557,4.0401,4.77246,2025-01-14,False,True,openllmfrancelucie7binstructhumandata,none,False,,,,,,,,
OpenLLM-France/Lucie-7B-Instruct-v1.1,6.707,2025-02-25,apache-2.0,🔶 fine-tuned on domain-specific datasets,10.9994,30.3876,14.7393,3.17221,4.25056,3.84427,9.60217,2025-02-25,False,True,openllmfrancelucie7binstructv11,none,False,,,,,,,,
OpenLeecher/llama3-8b-lima,8.03,2024-10-01,,"💬 chat models (RLHF, DPO, IFT, ...)",15.0254,43.7066,19.5731,5.06042,0,3.74219,18.0703,2024-10-01,True,False,openleecherllama38blima,medium,True,Llama 3-8B,8,7.2e+23,1.5e+13,Yes,Open weights (restricted use),2024-04-18,Meta AI
OpenScholar/Llama-3.1_OpenScholar-8B,8,2024-12-03,apache-2.0,🔶 fine-tuned on domain-specific datasets,25.9613,60.6401,32.4039,16.5408,4.25056,11.8388,30.0938,2024-12-03,False,True,openscholarllama31openscholar8b,none,False,,,,,,,,
Orenguteng/Llama-3.1-8B-Lexi-Uncensored,8.03,2024-07-29,llama3.1,🔶 fine-tuned on domain-specific datasets,27.1751,77.7684,29.2425,15.71,2.90828,6.42266,30.9988,2024-07-29,False,True,orengutengllama318blexiuncensored,medium,True,Llama 3.1-8B,8,1.224e+24,,Yes,Open weights (restricted use),2024-07-23,Meta AI
Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2,8.03,2024-08-28,llama3.1,🔶 fine-tuned on domain-specific datasets,28.3909,77.9158,29.687,19.713,4.36242,7.76979,30.8972,2024-08-28,False,True,orengutengllama318blexiuncensoredv2,medium,True,Llama 3.1-8B,8,1.224e+24,,Yes,Open weights (restricted use),2024-07-23,Meta AI
Orion-zhen/Qwen2.5-7B-Instruct-Uncensored,7.616,2024-10-19,gpl-3.0,"💬 chat models (RLHF, DPO, IFT, ...)",35.7188,72.0432,35.8325,47.7341,7.04698,13.5836,38.0725,2024-10-19,True,True,orionzhenqwen257binstructuncensored,medium,True,Qwen2.5-7B,7.61,8.2188e+23,,Yes,Open weights (unrestricted),2024-09-19,Alibaba
Orion-zhen/phi-4-abliterated,14.66,2024-12-20,gpl-3.0,🔶 fine-tuned on domain-specific datasets,29.9791,5.76027,52.4571,30.2115,20.5817,23.1781,47.6858,2024-12-20,False,True,orionzhenphi4abliterated,none,False,,,,,,,,
P0x0/Astra-v1-12B,12.248,2024-09-23,apache-2.0,🔶 fine-tuned on domain-specific datasets,19.7372,28.0594,31.8099,11.3293,8.50112,11.3818,27.3419,2024-09-23,False,True,p0x0astrav112b,none,False,,,,,,,,
PJMixers/LLaMa-3-CursedStock-v2.0-8B,8.03,2024-06-27,llama3,🤝 base merges and moerges,24.1661,63.3079,32.5636,9.44109,3.24385,8.03646,28.4039,2024-06-27,False,True,pjmixersllama3cursedstockv208b,none,False,,,,,,,,
PJMixers-Dev/L3.2-Instruct-Thinking-v0.1-1B,1.236,2025-01-11,,"💬 chat models (RLHF, DPO, IFT, ...)",10.9026,46.277,6.38664,5.43807,1.00671,0.94401,5.36348,2025-01-11,True,False,pjmixersdevl32instructthinkingv011b,none,False,,,,,,,,
PJMixers-Dev/LLaMa-3.1-Instruct-Interleaved-Zeroed-13B,13.047,2024-12-18,llama3.1,"💬 chat models (RLHF, DPO, IFT, ...)",28.8946,78.7102,29.8928,20.0151,5.59284,8.40703,30.7495,2024-12-18,True,True,pjmixersdevllama31instructinterleavedzeroed13b,none,False,,,,,,,,
PJMixers-Dev/LLaMa-3.1-RomboTiesTest-8B,4.015,2024-12-20,,🤝 base merges and moerges,28.8184,78.253,29.8928,20.0151,5.59284,8.40703,30.7495,2024-12-20,False,False,pjmixersdevllama31rombotiestest8b,none,False,,,,,,,,
PJMixers-Dev/LLaMa-3.1-RomboTiesTest2-8B,4.015,2024-12-21,,🤝 base merges and moerges,28.8184,78.253,29.8928,20.0151,5.59284,8.40703,30.7495,2024-12-21,False,False,pjmixersdevllama31rombotiestest28b,none,False,,,,,,,,
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.1-SFT-3B,3.213,2024-10-12,llama3.2,"💬 chat models (RLHF, DPO, IFT, ...)",22.7017,69.3054,23.8083,12.1601,3.24385,4.05391,23.6388,2024-10-12,True,True,pjmixersdevllama32instructjankmixv01sft3b,none,False,,,,,,,,
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-3B,3.213,2024-10-14,llama3.2,"💬 chat models (RLHF, DPO, IFT, ...)",21.7727,62.9157,23.3412,12.9909,3.02013,4.86771,23.5003,2024-10-14,True,True,pjmixersdevllama32instructjankmixv02sft3b,none,False,,,,,,,,
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,3.213,2024-10-28,llama3.2,"💬 chat models (RLHF, DPO, IFT, ...)",21.8263,65.039,22.2887,12.6133,2.90828,4.69115,23.4172,2024-10-28,True,True,pjmixersdevllama32instructjankmixv02sfthailmaryv01kto3b,none,False,,,,,,,,
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,3.213,2024-10-12,llama3.2,🤝 base merges and moerges,19.7373,50.4086,22.7596,13.0665,4.36242,4.67734,23.1494,2024-10-12,False,True,pjmixersdevllama32instructjankmixbreadv013b,none,False,,,,,,,,
PJMixers-Dev/Qwen2.5-RomboTiesTest-7B,3.808,2024-12-21,,🤝 base merges and moerges,35.2889,75.5802,34.9315,49.6224,6.37584,8.72057,36.5027,2024-12-21,False,False,pjmixersdevqwen25rombotiestest7b,none,False,,,,,,,,
Parissa3/test-model,7.242,2024-11-16,,🤝 base merges and moerges,20.7459,38.8256,32.839,6.49547,5.92841,17.5331,22.8539,2024-11-16,False,False,parissa3testmodel,none,False,,,,,,,,
Pinkstack/PARM-V1.5-base-QwQ-Qwen-2.5-o1-3B,3.086,2025-01-16,apache-2.0,🔶 fine-tuned on domain-specific datasets,23.9288,50.8482,26.3309,16.9184,6.26398,15.3151,27.896,2025-01-16,False,True,pinkstackparmv15baseqwqqwen25o13b,none,False,,,,,,,,
Pinkstack/SuperThoughts-CoT-14B-16k-o1-QwQ,14.66,2025-01-16,mit,🔶 fine-tuned on domain-specific datasets,31.3695,5.14579,52.8485,41.994,19.0157,21.7859,47.4272,2025-01-16,False,True,pinkstacksuperthoughtscot14b16ko1qwq,none,False,,,,,,,,
Pinkstack/Superthoughts-lite-1.8B-experimental-o1,1.812,2025-01-31,apache-2.0,🟩 continuously pretrained,5.10409,3.75193,9.13247,3.17221,3.3557,1.75781,9.45442,2025-01-31,False,True,pinkstacksuperthoughtslite18bexperimentalo1,none,False,,,,,,,,
Pinkstack/Superthoughts-lite-v1,1.711,2025-02-13,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.39942,16.5864,8.90285,2.94562,4.1387,3.43047,8.39243,2025-02-13,False,True,pinkstacksuperthoughtslitev1,none,False,,,,,,,,
PocketDoc/Dans-Instruct-CoreCurriculum-12b,12,2024-09-01,,🔶 fine-tuned on domain-specific datasets,9.49094,21.9145,13.2326,5.43807,4.36242,9.56198,2.4361,2024-09-01,False,False,pocketdocdansinstructcorecurriculum12b,none,False,,,,,,,,
PocketDoc/Dans-PersonalityEngine-V1.1.0-12b,12.248,2024-12-19,apache-2.0,🔶 fine-tuned on domain-specific datasets,27.0449,70.7467,33.6666,10.4985,4.9217,17.3013,25.1348,2024-12-19,False,True,pocketdocdanspersonalityenginev11012b,none,False,,,,,,,,
PocketDoc/Dans-PersonalityEngine-V1.2.0-24b,23.572,2025-02-19,apache-2.0,🔶 fine-tuned on domain-specific datasets,36.3755,78.8625,47.561,24.5468,9.17226,13.3794,44.7307,2025-02-19,False,True,pocketdocdanspersonalityenginev12024b,none,False,,,,,,,,
PocketDoc/Dans-PersonalityEngine-v1.0.0-8b,8.03,2024-10-08,apache-2.0,🔶 fine-tuned on domain-specific datasets,19.2074,49.819,25.688,8.1571,4.69799,3.9362,22.9462,2024-10-08,False,True,pocketdocdanspersonalityenginev1008b,none,False,,,,,,,,
PocketDoc/Dans-SakuraKaze-V1.0.0-12b,12.248,2025-02-28,apache-2.0,🔶 fine-tuned on domain-specific datasets,27.1198,65.2013,34.3882,9.29003,5.81655,19.5818,28.4408,2025-02-28,False,True,pocketdocdanssakurakazev10012b,none,False,,,,,,,,
PowerInfer/SmallThinker-3B-Preview,3.397,2025-01-07,,🔶 fine-tuned on domain-specific datasets,23.2201,61.9965,22.0621,27.7946,1.45414,3.59323,22.4198,2025-01-07,False,False,powerinfersmallthinker3bpreview,none,False,,,,,,,,
PranavHarshan/LaMistral-V4,8.03,2024-10-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,24.2108,62.3861,31.0913,6.87311,10.4027,5.63646,28.8749,2024-10-05,False,True,pranavharshanlamistralv4,none,False,,,,,,,,
PranavHarshan/MedNarra-X1,8.03,2024-10-09,,🔶 fine-tuned on domain-specific datasets,18.0783,43.3843,23.5235,4.38066,7.71812,2.45391,27.0095,2024-10-09,False,False,pranavharshanmednarrax1,none,False,,,,,,,,
Pretergeek/OpenChat-3.5-0106_10.7B_48Layers-Appended,10.732,2024-07-31,apache-2.0,🤝 base merges and moerges,22.7359,59.606,24.0572,7.93051,7.60626,11.7758,25.4396,2024-07-31,False,True,pretergeekopenchat350106107b48layersappended,none,False,,,,,,,,
Pretergeek/OpenChat-3.5-0106_10.7B_48Layers-Interleaved,10.732,2024-08-16,apache-2.0,🔶 fine-tuned on domain-specific datasets,22.6717,59.606,24.0572,7.77946,7.27069,11.7758,25.5411,2024-08-16,False,True,pretergeekopenchat350106107b48layersinterleaved,none,False,,,,,,,,
Pretergeek/OpenChat-3.5-0106_32K-PoSE,7.242,2024-11-02,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.9037,39.6899,8.82839,2.6435,3.46756,11.3344,11.4583,2024-11-02,False,True,pretergeekopenchat35010632kpose,none,False,,,,,,,,
Pretergeek/OpenChat-3.5-0106_8.11B_36Layers-Appended,8.114,2024-07-27,apache-2.0,🤝 base merges and moerges,22.7613,59.7583,24.0572,7.93051,7.60626,11.7758,25.4396,2024-07-27,False,True,pretergeekopenchat350106811b36layersappended,none,False,,,,,,,,
Pretergeek/OpenChat-3.5-0106_8.11B_36Layers-Interleaved,8.114,2024-08-16,apache-2.0,🔶 fine-tuned on domain-specific datasets,22.6303,59.606,24.0755,7.77946,7.27069,11.5091,25.5411,2024-08-16,False,True,pretergeekopenchat350106811b36layersinterleaved,none,False,,,,,,,,
Pretergeek/OpenChat-3.5-0106_8.99B_40Layers-Appended,8.987,2024-07-27,apache-2.0,🤝 base merges and moerges,22.7359,59.606,24.0572,7.93051,7.60626,11.7758,25.4396,2024-07-27,False,True,pretergeekopenchat350106899b40layersappended,none,False,,,,,,,,
Pretergeek/OpenChat-3.5-0106_8.99B_40Layers-Interleaved,8.987,2024-08-16,apache-2.0,🔶 fine-tuned on domain-specific datasets,22.6557,59.7583,24.0755,7.77946,7.27069,11.5091,25.5411,2024-08-16,False,True,pretergeekopenchat350106899b40layersinterleaved,none,False,,,,,,,,
Pretergeek/OpenChat-3.5-0106_9.86B_44Layers-Appended,9.859,2024-07-27,apache-2.0,🤝 base merges and moerges,22.7359,59.606,24.0572,7.93051,7.60626,11.7758,25.4396,2024-07-27,False,True,pretergeekopenchat350106986b44layersappended,none,False,,,,,,,,
Pretergeek/openchat-3.5-0106_Rebased_Mistral-7B-v0.2,7.242,2024-07-21,apache-2.0,🔶 fine-tuned on domain-specific datasets,16.0523,37.0621,10.9108,4.53172,2.90828,20.568,20.3328,2024-07-21,False,True,pretergeekopenchat350106rebasedmistral7bv02,none,False,,,,,,,,
PrimeIntellect/INTELLECT-1,10.211,2024-11-29,apache-2.0,🟢 pretrained,3.8063,17.5732,1.0435,0,0.447427,2.40885,1.36488,2024-11-29,False,True,primeintellectintellect1,high,True,INTELLECT-1,10,6e+22,1e+12,,,2024-11-29,"Prime Intellect,Hugging Face,Arcee AI"
PrimeIntellect/INTELLECT-1,10.211,2024-12-03,apache-2.0,🟢 pretrained,4.016,17.5732,1.0435,0,0,4.14219,1.33717,2024-12-03,False,True,primeintellectintellect1,high,True,INTELLECT-1,10,6e+22,1e+12,,,2024-11-29,"Prime Intellect,Hugging Face,Arcee AI"
PrimeIntellect/INTELLECT-1-Instruct,10.211,2024-11-29,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",1.40591,0,1.74945,2.26586,0,3.71094,0.70922,2024-11-29,True,True,primeintellectintellect1instruct,medium,True,INTELLECT-1,10,6e+22,1e+12,,,2024-11-29,"Prime Intellect,Hugging Face,Arcee AI"
PuxAI/LUA_model,7.386,2024-12-18,,🔶 fine-tuned on domain-specific datasets,5.14872,22.8213,1.81567,0,1.34228,3.54818,1.36488,2024-12-18,False,False,puxailuamodel,none,False,,,,,,,,
PygmalionAI/pygmalion-6b,6,2024-06-12,creativeml-openrail-m,🔶 fine-tuned on domain-specific datasets,5.43012,20.9104,5.08958,0.830816,0,3.71094,2.03901,2024-06-12,False,True,pygmalionaipygmalion6b,none,False,,,,,,,,
Q-bert/MetaMath-1B,1.236,2024-09-30,,🔶 fine-tuned on domain-specific datasets,12.3691,53.0039,8.43461,6.26888,0.223714,0.78125,5.50199,2024-09-30,False,False,qbertmetamath1b,none,False,,,,,,,,
Quazim0t0/1up-14b,14.66,2025-02-27,,🤝 base merges and moerges,41.1518,68.8808,55.8398,41.6163,14.9888,16.625,48.9602,2025-02-27,False,False,quazim0t01up14b,none,False,,,,,,,,
Quazim0t0/Adamant-14B-sce,14.66,2025-02-04,,🤝 base merges and moerges,40.3215,68.576,54.9714,39.8792,13.4228,16.5073,48.5723,2025-02-04,False,False,quazim0t0adamant14bsce,none,False,,,,,,,,
Quazim0t0/Alice-14B,14.66,2025-03-10,,🤝 base merges and moerges,41.3542,68.3637,56.0065,45.6949,13.5347,15.4268,49.0987,2025-03-10,False,False,quazim0t0alice14b,none,False,,,,,,,,
Quazim0t0/Alien-CoT-14B-sce,14.66,2025-02-03,,🤝 base merges and moerges,32.2105,7.48636,48.0478,52.0393,18.9038,20.4484,46.3375,2025-02-03,False,False,quazim0t0aliencot14bsce,none,False,,,,,,,,
Quazim0t0/Aura-8B-Linear,8.03,2025-02-07,,🤝 base merges and moerges,27.5876,79.477,29.4517,18.0514,2.57271,4.85391,31.1189,2025-02-07,False,False,quazim0t0aura8blinear,none,False,,,,,,,,
Quazim0t0/Casa-14b-sce,14.66,2025-02-06,,🔶 fine-tuned on domain-specific datasets,40.4116,66.5352,55.3985,46.9789,11.0738,13.3109,49.1726,2025-02-06,False,False,quazim0t0casa14bsce,none,False,,,,,,,,
Quazim0t0/Casa-14b-sce,14.66,2025-02-06,,🤝 base merges and moerges,40.9936,67.1822,55.3297,49.8489,11.1857,13.4365,48.9786,2025-02-06,False,False,quazim0t0casa14bsce,none,False,,,,,,,,
Quazim0t0/Charlie-8B-Linear,8.03,2025-02-08,,🤝 base merges and moerges,28.0602,73.8067,31.5244,26.5106,2.79642,5.13438,28.5886,2025-02-08,False,False,quazim0t0charlie8blinear,none,False,,,,,,,,
Quazim0t0/Chromatic-8b-sce,8.03,2025-02-06,,🤝 base merges and moerges,24.1686,50.8507,28.8659,15.5589,9.28412,9.84062,30.611,2025-02-06,False,False,quazim0t0chromatic8bsce,none,False,,,,,,,,
Quazim0t0/CoT_Phi,14.66,2025-02-27,,🤝 base merges and moerges,36.2089,61.5868,53.3657,33.0816,14.4295,11.4443,43.3455,2025-02-27,False,False,quazim0t0cotphi,none,False,,,,,,,,
Quazim0t0/Dyson-14b,14.66,2025-03-09,,🤝 base merges and moerges,39.5796,58.5668,54.7294,53.9275,8.50112,12.8755,48.8771,2025-03-09,False,False,quazim0t0dyson14b,none,False,,,,,,,,
Quazim0t0/Edu-14B-Linear,14.66,2025-02-27,,🤝 base merges and moerges,34.655,61.5818,53.2138,24.4713,8.94855,14.3187,45.3956,2025-02-27,False,False,quazim0t0edu14blinear,none,False,,,,,,,,
Quazim0t0/Fugazi14b,14.66,2025-02-27,,🤝 base merges and moerges,41.9386,69.9799,56.0921,46.5257,13.5347,16.419,49.0802,2025-02-27,False,False,quazim0t0fugazi14b,none,False,,,,,,,,
Quazim0t0/GZA-14B-sce,14.66,2025-01-31,,🤝 base merges and moerges,38.2204,62.7409,52.4932,47.2054,6.93512,12.9266,47.0209,2025-01-31,False,False,quazim0t0gza14bsce,none,False,,,,,,,,
Quazim0t0/Geedorah-14B,14.66,2025-03-13,,🤝 base merges and moerges,41.3911,68.7284,56.4623,44.4864,12.9754,16.568,49.1264,2025-03-13,False,False,quazim0t0geedorah14b,none,False,,,,,,,,
Quazim0t0/GivingTree-8b-sce,8.03,2025-02-06,,🤝 base merges and moerges,23.9033,50.0614,28.499,15.2568,9.61969,9.30729,30.6756,2025-02-06,False,False,quazim0t0givingtree8bsce,none,False,,,,,,,,
Quazim0t0/GuiltySpark-14B-ties,14.66,2025-02-06,,🤝 base merges and moerges,40.524,68.5436,55.7219,38.3686,15.3244,16.2995,48.8863,2025-02-06,False,False,quazim0t0guiltyspark14bties,none,False,,,,,,,,
Quazim0t0/Halo-14B-sce,14.66,2025-02-04,,🤝 base merges and moerges,40.2589,67.5369,55.2708,42.9003,12.9754,14.2424,48.6277,2025-02-04,False,False,quazim0t0halo14bsce,none,False,,,,,,,,
Quazim0t0/Heretic1.5b,1.73,2025-02-27,,🤝 base merges and moerges,11.5995,20.6156,9.64386,24.3958,2.46085,4.39323,8.08769,2025-02-27,False,False,quazim0t0heretic15b,none,False,,,,,,,,
Quazim0t0/Hyde-14b-sce,14.66,2025-02-07,,🤝 base merges and moerges,36.6599,67.1547,54.8978,27.3414,12.1924,10.5951,47.7781,2025-02-07,False,False,quazim0t0hyde14bsce,none,False,,,,,,,,
Quazim0t0/Imagine-v0.5-16bit,14.66,2025-03-09,apache-2.0,🔶 fine-tuned on domain-specific datasets,28.789,27.5899,53.7361,13.9728,15.3244,13.7326,48.3784,2025-03-09,False,True,quazim0t0imaginev0516bit,none,False,,,,,,,,
Quazim0t0/Imbue-14b,14.66,2025-03-09,,🤝 base merges and moerges,38.0734,51.9973,54.4762,53.1722,8.38926,11.4911,48.914,2025-03-09,False,False,quazim0t0imbue14b,none,False,,,,,,,,
Quazim0t0/Insom,14.66,2025-02-27,,🤝 base merges and moerges,39.5477,68.1839,55.3186,38.5196,13.311,13.5932,48.3599,2025-02-27,False,False,quazim0t0insom,none,False,,,,,,,,
Quazim0t0/InspectorDeck-14B-sce,14.66,2025-02-05,,🤝 base merges and moerges,29.6019,32.4085,52.0119,31.6465,6.26398,7.9362,47.3441,2025-02-05,False,False,quazim0t0inspectordeck14bsce,none,False,,,,,,,,
Quazim0t0/Jekyl-8b-sce,8.03,2025-02-06,,🤝 base merges and moerges,24.0854,46.9689,28.2328,16.1631,11.745,11.5583,29.8445,2025-02-06,False,False,quazim0t0jekyl8bsce,none,False,,,,,,,,
Quazim0t0/Jigsaw-14B-Linear,14.66,2025-02-27,,🤝 base merges and moerges,36.8598,64.8042,54.7913,26.5106,12.0805,15.9326,47.0394,2025-02-27,False,False,quazim0t0jigsaw14blinear,none,False,,,,,,,,
Quazim0t0/Katana-8b-sce,8.03,2025-02-06,,🤝 base merges and moerges,24.188,51.073,29.0042,15.1057,9.95526,9.20339,30.7864,2025-02-06,False,False,quazim0t0katana8bsce,none,False,,,,,,,,
Quazim0t0/Knot-CoT-14B-sce,14.66,2025-02-03,,🤝 base merges and moerges,33.7345,48.3178,51.4445,39.9547,5.81655,10.7206,46.1529,2025-02-03,False,False,quazim0t0knotcot14bsce,none,False,,,,,,,,
Quazim0t0/Lineage-14B,14.66,2025-03-13,,🤝 base merges and moerges,41.6443,70.7043,56.0222,42.4471,14.6532,17.0328,49.0064,2025-03-13,False,False,quazim0t0lineage14b,none,False,,,,,,,,
Quazim0t0/Lo-Phi-14b,14.66,2025-03-09,,🤝 base merges and moerges,37.889,49.4119,54.706,51.9637,10.4027,12.3049,48.5446,2025-03-09,False,False,quazim0t0lophi14b,none,False,,,,,,,,
Quazim0t0/Loke-14B-sce,14.66,2025-02-04,,🤝 base merges and moerges,40.8582,68.4786,55.8348,39.0483,15.3244,17.5583,48.9048,2025-02-04,False,False,quazim0t0loke14bsce,none,False,,,,,,,,
Quazim0t0/MFDOOM-14B,14.66,2025-03-09,,🤝 base merges and moerges,41.4412,67.362,55.5306,52.6435,9.73154,14.207,49.1726,2025-03-09,False,False,quazim0t0mfdoom14b,none,False,,,,,,,,
Quazim0t0/MFGRIMM-14B,14.66,2025-03-09,,🤝 base merges and moerges,41.518,68.9407,55.5229,50.6042,11.1857,13.7836,49.071,2025-03-09,False,False,quazim0t0mfgrimm14b,none,False,,,,,,,,
Quazim0t0/Math_Phi4_Reason,14.66,2025-02-27,,🤝 base merges and moerges,28.1187,32.2011,45.0575,32.7795,5.36913,8.52839,44.7769,2025-02-27,False,False,quazim0t0mathphi4reason,none,False,,,,,,,,
Quazim0t0/Mithril-14B-sce,14.66,2025-02-04,,🤝 base merges and moerges,40.9823,69.5777,55.9252,38.2175,15.8837,17.3661,48.9232,2025-02-04,False,False,quazim0t0mithril14bsce,none,False,,,,,,,,
Quazim0t0/Mononoke-14B-sce,14.66,2025-02-03,,🤝 base merges and moerges,33.979,35.0213,53.1596,46.9789,9.73154,11.2323,47.7504,2025-02-03,False,False,quazim0t0mononoke14bsce,none,False,,,,,,,,
Quazim0t0/Motion-8B-Linear,8.03,2025-02-08,,🤝 base merges and moerges,27.2354,76.8592,29.3889,18.8822,2.79642,4.54219,30.9434,2025-02-08,False,False,quazim0t0motion8blinear,none,False,,,,,,,,
Quazim0t0/Mouse-9B,9.207,2025-03-13,,🤝 base merges and moerges,3.73673,13.2492,2.50644,0.528701,0.559284,4.03646,1.54034,2025-03-13,False,False,quazim0t0mouse9b,none,False,,,,,,,,
Quazim0t0/Nova-14b-sce,14.66,2025-02-06,,🔶 fine-tuned on domain-specific datasets,41.4063,70.2197,56.0343,41.6163,15.1007,16.4328,49.0341,2025-02-06,False,False,quazim0t0nova14bsce,none,False,,,,,,,,
Quazim0t0/NovaScotia-14b-stock,14.66,2025-02-05,,🤝 base merges and moerges,41.3481,67.8741,56.0271,46.2991,13.1991,15.7013,48.9879,2025-02-05,False,False,quazim0t0novascotia14bstock,none,False,,,,,,,,
Quazim0t0/ODB-14B-sce,0,,,❓ other,26.9205,29.2236,50.6995,25.4532,2.12528,7.27734,46.7439,,False,False,quazim0t0odb14bsce,none,False,,,,,,,,
Quazim0t0/ODB-14b-sce,14.66,2025-02-06,,🤝 base merges and moerges,41.3366,70.1597,56.1926,41.1631,14.9888,16.4995,49.0156,2025-02-06,False,False,quazim0t0odb14bsce,none,False,,,,,,,,
Quazim0t0/Oasis-14B-ties,14.66,2025-02-06,,🤝 base merges and moerges,40.5926,69.3654,55.7538,37.5378,15.3244,16.6328,48.9417,2025-02-06,False,False,quazim0t0oasis14bties,none,False,,,,,,,,
Quazim0t0/Origami-14B-sce,14.66,2025-02-03,,🤝 base merges and moerges,28.9723,32.5933,51.4497,29.1541,4.47427,9.00286,47.1594,2025-02-03,False,False,quazim0t0origami14bsce,none,False,,,,,,,,
Quazim0t0/Phi4.Turn.R1Distill.16bit,14.66,2025-01-30,apache-2.0,🔶 fine-tuned on domain-specific datasets,27.5026,31.2644,50.4692,23.1118,5.92841,6.94401,47.2979,2025-01-30,False,True,quazim0t0phi4turnr1distill16bit,none,False,,,,,,,,
Quazim0t0/Phi4.Turn.R1Distill_v1.5.1-Tensors,14.66,2025-01-31,apache-2.0,🔶 fine-tuned on domain-specific datasets,26.0537,29.953,49.2181,21.9033,2.46085,7.0401,45.7465,2025-01-31,False,True,quazim0t0phi4turnr1distillv151tensors,none,False,,,,,,,,
Quazim0t0/Phi4Basis-14B-sce,14.66,2025-02-03,,🤝 base merges and moerges,40.3133,65.0165,55.6652,47.8852,10.5145,14.0227,48.7755,2025-02-03,False,False,quazim0t0phi4basis14bsce,none,False,,,,,,,,
Quazim0t0/Ponder-14B-linear,14.66,2025-02-06,,🤝 base merges and moerges,41.3075,69.0606,56.2149,42.8248,14.4295,16.3367,48.9786,2025-02-06,False,False,quazim0t0ponder14blinear,none,False,,,,,,,,
Quazim0t0/RZA-14B-sce,14.66,2025-01-31,,🤝 base merges and moerges,36.0349,47.7358,52.2977,51.8882,5.36913,10.2167,48.7016,2025-01-31,False,False,quazim0t0rza14bsce,none,False,,,,,,,,
Quazim0t0/Rosemary-14b,14.66,2025-03-01,,🤝 base merges and moerges,41.3377,69.1531,56.3835,43.8822,14.2058,15.5523,48.8494,2025-03-01,False,False,quazim0t0rosemary14b,none,False,,,,,,,,
Quazim0t0/Rune-14b,14.66,2025-03-01,,🤝 base merges and moerges,41.8172,70.1597,56.054,45.8459,13.5347,16.2935,49.0156,2025-03-01,False,False,quazim0t0rune14b,none,False,,,,,,,,
Quazim0t0/SZA-14B-sce,14.66,2025-02-05,,🤝 base merges and moerges,39.5577,56.591,55.2301,52.4169,10.7383,14.001,48.3692,2025-02-05,False,False,quazim0t0sza14bsce,none,False,,,,,,,,
Quazim0t0/Sake-20b,21.475,2025-03-13,,🤝 base merges and moerges,40.1891,66.9274,53.9393,46.5257,9.17226,15.7758,48.794,2025-03-13,False,False,quazim0t0sake20b,none,False,,,,,,,,
Quazim0t0/Spok-14b-sce,14.66,2025-02-07,,🤝 base merges and moerges,36.7109,66.8175,55.0936,27.1903,12.7517,10.6617,47.7504,2025-02-07,False,False,quazim0t0spok14bsce,none,False,,,,,,,,
Quazim0t0/Sumatra-20b,21.475,2025-02-06,,🤝 base merges and moerges,39.2143,67.3796,55.133,36.7069,10.179,16.8346,49.0525,2025-02-06,False,False,quazim0t0sumatra20b,none,False,,,,,,,,
Quazim0t0/SuperNova14b,14.66,2025-02-27,,🤝 base merges and moerges,41.6751,70.7642,56.0927,43.9577,13.6465,16.3151,49.2742,2025-02-27,False,False,quazim0t0supernova14b,none,False,,,,,,,,
Quazim0t0/TB0-8B-sce,8.03,2025-02-07,,🤝 base merges and moerges,24.188,51.073,29.0042,15.1057,9.95526,9.20339,30.7864,2025-02-07,False,False,quazim0t0tb08bsce,none,False,,,,,,,,
